Web_Site_Member_ID,Master_Member_ID,API_GUID,Constituent_ID,Registration_Date,Approved_Site_Member,Date_Approved,Date_Last_Login,Member_Suspended,Last_Updated,Date_Membership_Expires,Membership,Has_Donated_Online,Date_Last_Donated,Has_Purchased_Online,Date_Last_Purchased,Has_Registered_Event_Online,Date_Last_Event_Reg,Username,Password,Member_Type_Code,Primary_Group_Code,Group_Codes,Gender,First_Name,Middle_Name,Last_Name,Nickname,Member_Name_Suffix,Member_Name_Title,Birthdate,Marriage_Status,Maiden_Name,Anniversary_Date,Spouse_Name,Email_Address,Email_Address_Alternate,Email_Bounced,Messenger_Type,Messenger_Handle,Home_Address_Line1,Home_Address_Line2,Home_City,Home_Location,Home_State_Abbrev,Home_Postal_Code,Home_Country,Personal_Website,Home_Phone_Country_Code,Home_Phone_Area_Code,Home_Phone,Mobile_Country_Code,Mobile_Area_Code,Mobile,Employer_Name,Professional_Title,Profession,Employer_Address_Line1,Employer_Address_Line2,Employer_City,Employer_Location,Employer_State_Abbrev,Employer_Postal_Code,Employer_Country,Employer_Website,Employer_Phone_Country_Code,Employer_Phone_Area_Code,Employer_Phone,Employer_Fax_Country_Code,Employer_Fax_Area_Code,Employer_Fax,Resume_Exists,Resume_Headline,Social_Organizations,Education_and_Experience,More_Personal_Info,Search_Identifier,Internal_Comments,Home_Address_Validated,Employer_Address_Validated,Date_Last_Renewed,Date_Effective_Membership_Expires,Import_Batch_ID,Career_Openings_Allowed,Members_Pages_Allowed,Additional_Seats_Allowed,intNameFormatNormal,YMCareers_Date_Last_Login,YMCareers_Date_Last_Job_Search,YMCareers_Date_Last_Job_Application,Number_of_Employees,Area_of_Expertise,Membership_Division,Age_Range,District_Size,ACTE_Number,County_-_Area,Liability_insurance,Years,ACTE_Expiration,Member_Area,Instructional_area
000001,,ccda56a2-1eac-282d-9107-c4d7a9c46be2,,2017-07-13 23:50:00,Yes,2017-07-13 23:50:21,,Yes,2018-07-08 17:18:31,2018-05-31 00:00:00,Active Instructional,No,,No,,No,,user_00001,[REDACTED],Teacher,,,,First00001,,Last00001,,,,,,,,,user00001@example.invalid,,No,,,,,,,,,United States,,,,,,,,[ORG_00001],Marketing Teacher,,,,,,,,United States,,,,,,,,No,,,,,srch_00001,,False,False,,2018-05-31 00:00:00,,0,10,0,338,,,,,Teacher ,Marketing Council,Under 40,"Up to 5,000 students",,Tarrant - 2,,,,2,
000002,,fddba6fc-7c52-2f80-ba14-6a28e6a38363,,,No,,,No,2020-08-13 16:28:16,,,No,,No,,No,,,,,,,,First00002,,Last00002,,,,,,,,,user00002@example.invalid,,No,,,,,,,,,,,,,5550001,,,,[ORG_00002],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000003,,4bee4d0f-5ca4-6f30-48b1-e433aef4dd12,,,No,,,No,2023-03-27 10:13:51,,,No,,No,,No,,,,,,,,First00003,,Last00003,,,,,,,,,user00003@example.invalid,,No,,,,,,,,,,,,,5550002,,,,[ORG_00003],teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000004,,0a3c5408-b612-d748-6f0a-a2c0980e2238,,2025-01-27 09:59:25,Yes,2025-02-05 17:07:58,2025-10-30 12:09:22,Yes,2025-10-30 12:37:23,2026-02-05 00:00:00,Administrator,No,,Yes,2025-10-30 12:13:50,Yes,2025-10-30 12:13:50,user_00002,[REDACTED],Active,,,,First00004,,Last00004,,,Ms,,,,,,user00004@example.invalid,alt00001@example.invalid,No,,,[ADDR1_00001],,HOUSTON,Texas,TX,770XX,United States,,,,,,832,5550003,[ORG_00004],Program Manger,,[EADDR1_00001],,HOUSTON,Texas,TX,770XX,United States,,,832,5550003,,281,5550004,No,,,,,srch_00001,,False,False,2025-02-05 17:07:52,2026-02-05 00:00:00,,0,0,0,338,,,,,Administration,Administration,Under 40,"Up to 10,000 students",,Harris - 6,No,,,6,
000005,,6d73985e-e2e4-bc8e-54f6-e0cf00a78e91,,,No,,,No,2016-05-25 15:54:28,,,No,,No,,No,,,,,,,,First00005,,Last00005,,,,,,,,,user00005@example.invalid,,No,,,,,,,,,,,,,5550005,,,,[ORG_00005],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000006,,81b247e9-d9ff-9e30-4428-af8bcb147bf9,,2023-11-16 09:07:44,Yes,2023-12-07 12:44:55,,Yes,2023-12-07 12:44:50,2024-12-07 00:00:00,Teacher,No,,No,,No,,user_00003,[REDACTED],Teacher,,,,First00006,,Last00006,Nick00001,,Mrs.,,,,,,user00006@example.invalid,alt00002@example.invalid,No,,,[ADDR1_00002],,Palestine,Texas,TX,758XX,United States,,,,,,903,5550006,[ORG_00006],FCS Teacher,,[EADDR1_00002],,Neches,Texas,TX,757XX,United States,,,903,5550006,,,,No,,,,,srch_00001,,False,False,2023-12-07 12:44:50,2024-12-07 00:00:00,,0,0,0,338,,,,,Teacher ,Teacher,Under 50,Up to 500 students,,Anderson - 3,Yes,,,3,Hospitality and Tourism
000007,,ad51976f-bcbb-a7f8-4111-01871797ef66,,2018-01-12 11:37:55,No,,,Yes,2018-01-12 11:37:55,,,No,,No,,No,,user_00004,[REDACTED],Edu. Institution,,,,First00007,,Last00007,,,Mr.,,,,,,user00007@example.invalid,,No,,,[ADDR1_00003],,Von Ormy,Texas,TX,780XX,United States,,,,,,210,5550007,[ORG_00007],STEM/CTE Coordinator,Education,[EADDR1_00003],,San Antonio,Texas,TX,782XX,United States,,,210,5550008,,210,5550009,No,,,,,srch_00001,,False,False,,,,0,10,0,466,,,,,Administration,Administration,Under 40,"Up to 10,000 students",,Bexar - 7,,1,,7,
000008,,4b229e87-4a54-d05b-fd82-0f2c86b15ce5,,,No,,,No,2020-07-15 20:18:11,,,No,,No,,No,,,,,,,,First00008,,Last00008,,,,,,,,,user00008@example.invalid,,No,,,,,,,,,,,,,5550010,,,,[ORG_00008],Marketing / Business Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000009,,b19447cb-1db3-bdb3-428f-77e39e9359c9,,,No,,,No,2021-05-26 13:17:34,,,No,,No,,No,,,,,,,,First00009,,Last00009,,,,,,,,,user00009@example.invalid,,No,,,,,,,,,,,,,5550011,,,,[ORG_00009],CTE Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000010,,28f4c7c9-fc85-1c60-8f59-2330c59c1272,,,No,,,No,2024-09-17 16:29:43,,,No,,No,,No,,,,,,,,First00010,,Last00010,,,,,,,,,user00010@example.invalid,,No,,,,,,,,,,,,,5550012,,,,[ORG_00010],Health Science/Dental Assistant Instructor,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
